date,noeggs,temperature,age,weather,breed
8/21/23,103,29,5,,
8/22/23,121,28.5,,,
8/23/23,141,29.5,,,
8/24/23,161,29,,,
8/25/23,174,29.5,,,
8/26/23,208,28,,,
8/27/23,226,27.5,,,
8/28/23,260,29,,,
8/29/23,293,29,,,
8/30/23,350,28.5,,,
8/31/23,368,27.5,,,
9/1/23,435,28,,,
9/2/23,470,32,,,
9/3/23,520,27.5,,,
9/4/23,573,27,,,
9/5/23,612,29,,,
9/6/23,710,30,,,
9/7/23,750,30.5,,,
9/8/23,813,30.5,,,
9/9/23,886,30,,,
9/10/23,962,30,,,
9/11/23,1015,29.5,,,
9/12/23,1089,29,,,
9/13/23,1224,28,,,
9/14/23,1170,29.5,,,
9/15/23,1200,28.5,,,
9/16/23,1240,31,,,
9/17/23,1282,30,,,
9/18/23,1290,29,,,
9/19/23,1380,31,,,
9/20/23,1410,30.5,,,
9/21/23,1420,30.5,,,
9/22/23,1450,29,,,
9/23/23,1483,27.5,,,
9/24/23,1482,29.5,,,
9/25/23,1500,29,,,
9/26/23,1510,28,,,
9/27/23,1512,27.5,,,
9/28/23,1508,30.5,,,
9/29/23,1513,28.5,,,
9/30/23,1531,29.5,,,
10/1/23,1556,30,,,
10/2/23,1551,28,,,
10/3/23,1544,27.5,,,
10/4/23,1541,28.5,,,
10/5/23,1492,28,,,
10/6/23,1485,27,,,
10/7/23,1475,29,,,
10/8/23,1481,29,,,
10/9/23,1487,30.5,,,
10/10/23,1501,30,,,
10/11/23,1470,28.5,,,
10/12/23,1450,28.5,,,
10/13/23,1506,30,,,
10/14/23,1446,29,,,
10/15/23,1449,30,,,
10/16/23,1462,29.5,,,
10/17/23,1463,29,,,
10/18/23,1441,30,,,
10/19/23,1442,27.5,,,
10/20/23,1511,28.5,,,
10/21/23,1467,26.5,,,
10/22/23,1459,28.5,,,
10/23/23,1442,27,,,
10/24/23,1351,28,,,
10/25/23,1360,29,,,
10/26/23,1228,30,,,
10/27/23,1137,30,,,
10/28/23,1099,30,,,
10/29/23,998,30,,,
10/30/23,987,29.5,,,
10/31/23,1008,30,,,
11/1/23,1010,28,,,
11/2/23,990,29,,,
11/3/23,990,31,,,
11/4/23,1013,30.5,,,
11/5/23,1014,31,,,
11/6/23,1022,31,,,
11/7/23,1050,29.5,,,
11/8/23,1023,29,,,
11/9/23,1006,31,,,
11/10/23,1031,30,,,
11/11/23,1010,29,,,
11/12/23,923,30,,,
11/13/23,706,29,,,
11/14/23,584,30,,,
11/15/23,505,28,,,
11/16/23,444,29.5,,,
11/17/23,475,29,,,
11/18/23,439,29,,,
11/19/23,429,29,,,
11/20/23,425,28.5,,,
11/21/23,449,28.5,,,
11/22/23,488,28.5,,,
11/23/23,526,29,,,
11/24/23,600,30,,,
11/25/23,636,27.5,,,
11/26/23,683,27.5,,,
11/27/23,707,29.5,,,
11/28/23,754,30,,,
11/29/23,792,30,,,
11/30/23,817,31,,,
12/1/23,846,30.5,,,
12/2/23,853,30,,,
12/3/23,856,28,,,
12/4/23,859,29.5,,,
12/5/23,908,30,,,
12/6/23,948,30,,,
12/7/23,954,30,,,
12/8/23,990,30,,,
12/9/23,1013,29.5,,,
12/10/23,1046,30,,,
12/11/23,1055,28,,,
12/12/23,1088,29,,,
12/13/23,1112,29.5,,,
12/14/23,1115,29,,,
12/15/23,1160,27.5,,,
12/16/23,1185,28.5,,,
12/17/23,1195,29,,,
12/18/23,1233,28.5,,,
12/19/23,1230,28,,,
12/20/23,1240,30,,,
12/21/23,1257,28.5,,,
12/22/23,1278,27,,,
12/23/23,1242,27.5,,,
12/24/23,1253,28.5,,,
12/25/23,1286,29,,,
12/26/23,1292,28.5,,,
12/27/23,1321,27.5,,,
12/28/23,1331,28.5,,,
12/29/23,1340,29,,,
12/30/23,1361,29,,,
12/31/23,1371,29.5,,,
1/1/24,1366,29,,,
1/2/24,1377,29,,,
1/3/24,1389,28.5,,,
1/4/24,1394,30.5,,,
1/5/24,1414,28.5,,,
1/6/24,1410,28.5,,,
1/7/24,1415,29,,,
1/8/24,1399,28,,,
1/9/24,1434,29,,,
1/10/24,1408,29,,,
1/11/24,1419,28.5,,,
1/12/24,1413,28,,,
1/13/24,1419,28,,,
1/14/24,1423,28.5,,,
1/15/24,1424,28,,,
1/16/24,1435,28.5,,,
1/17/24,1447,27.5,,,
1/18/24,1430,26.5,,,
1/19/24,1440,28.5,,,
1/20/24,1442,27,,,
1/21/24,1419,28.5,,,
1/22/24,1451,28,,,
1/23/24,1424,28.5,,,
1/24/24,1427,28,,,
1/25/24,1423,26.5,,,
1/26/24,1421,26.5,,,
1/27/24,1418,26.5,,,
1/28/24,1436,26.5,,,
1/29/24,1416,27,,,
1/30/24,1386,28,,,
1/31/24,1409,27,,,
2/1/24,1425,28.5,,,
2/2/24,1398,28,,,
2/3/24,1401,28,,,
2/4/24,1407,29.5,,,
2/5/24,1406,28.5,,,
2/6/24,1410,29,,,
2/7/24,1421,28,,,
2/8/24,1414,29,,,
2/9/24,1408,29,,,
2/10/24,1403,28,,,
2/11/24,1402,28,,,
2/12/24,1400,28.5,,,
2/13/24,1389,27.5,,,
2/14/24,1396,29,,,
2/15/24,1406,29.5,,,
2/16/24,1420,29,,,
2/17/24,1429,28.5,,,
2/18/24,1414,28.5,,,
2/19/24,1423,28.5,,,
2/20/24,1437,28.5,,,
2/21/24,1426,29,,,
2/22/24,1412,29,,,
2/23/24,1405,29,,,
2/24/24,1330,30,,,
2/25/24,1384,28.5,,,
2/26/24,1346,29.5,,,
2/27/24,1321,28,,,
2/28/24,1272,28,,,
2/29/24,1310,28,,,
3/1/24,1320,29,,,
3/2/24,1355,28.5,,,
3/3/24,1348,28,,,
3/4/24,1360,29,,,
3/5/24,1353,30,,,
3/6/24,1363,29.5,,,
3/7/24,1377,30,,,
3/8/24,1371,29.5,,,
3/9/24,1374,29,,,
3/10/24,1349,29.5,,,
3/11/24,1347,28.5,,,
3/12/24,1349,29.5,,,
3/13/24,1328,30,,,
3/14/24,1348,30,,,
3/15/24,1332,29,,,
3/16/24,1318,30,,,
3/17/24,1350,29.5,,,
3/18/24,1325,29.5,,,
3/19/24,1312,29,,,
3/20/24,1314,29,,,
3/21/24,1327,27.5,,,
3/22/24,1315,27.5,,,
3/23/24,1340,29.5,,,
3/24/24,1345,29.5,,,
3/25/24,1337,30.5,,,
3/26/24,1336,30.5,,,
3/27/24,1328,31,,,
3/28/24,1323,31.5,,,
3/29/24,1307,31.5,,,
3/30/24,1315,30.5,,,
3/31/24,1315,29.5,,,
4/1/24,1301,31.5,,,
4/2/24,1280,31.5,,,
4/3/24,1279,31,,,
4/4/24,1267,31.5,,,
4/5/24,1257,30.5,,,
4/6/24,1253,30.5,,,
4/7/24,1261,30.5,,,
4/8/24,1245,30.5,,,
4/9/24,1263,30.5,,,
4/10/24,1260,31,,,
4/11/24,1240,31.5,,,
4/12/24,1263,31,,,
4/13/24,1236,30.5,,,
4/14/24,1222,31.5,,,
4/15/24,1229,32.5,,,
4/16/24,1238,32,,,
4/17/24,1193,31.5,,,
4/18/24,1201,32.5,,,
4/19/24,1215,31.5,,,
4/20/24,1184,31.5,,,
4/21/24,1190,32,,,
4/22/24,1173,32,,,
4/23/24,1176,33,,,
4/24/24,1177,33.5,,,
4/25/24,1174,34,,,
4/26/24,1149,33.5,,,
4/27/24,1155,33,,,
4/28/24,1117,32.5,,,
4/29/24,1127,33,,,
4/30/24,1117,32.5,,,
5/1/24,1058,33,,,
5/2/24,1063,33,,,
5/3/24,1067,32,,,
5/4/24,1065,32.5,,,
5/5/24,1032,32,,,
5/6/24,1091,32.5,,,
5/7/24,1037,32.5,,,
5/8/24,1047,32,,,
5/9/24,1066,33,,,
5/10/24,1072,32.5,,,
5/11/24,1050,32.5,,,
5/12/24,1072,33,,,
5/13/24,1053,31.5,,,
5/14/24,1049,30,,,
5/15/24,1050,33,,,
5/16/24,1046,32.5,,,
5/17/24,1031,31.5,,,
5/18/24,1047,32,,,
5/19/24,1043,31.5,,,
5/20/24,1037,32.5,,,
5/21/24,1016,29.5,,,
5/22/24,946,33.5,,,
5/23/24,803,33,,,
5/24/24,788,33.5,,,
5/25/24,798,29,,,
5/26/24,792,26.5,,,
5/27/24,685,29.5,,,
5/28/24,378,30.5,,,
5/29/24,514,31,,,
5/30/24,526,31.5,,,
5/31/24,551,32.5,,,
6/1/24,547,33,,,
6/2/24,595,32.5,,,
6/3/24,631,31.5,,,
6/4/24,632,32,,,
6/5/24,625,30,,,
6/6/24,618,29.5,,,
6/7/24,622,29,,,
6/8/24,608,31,,,
6/9/24,593,31.5,,,
6/10/24,580,32,,,
6/11/24,559,31,,,
6/12/24,534,31.5,,,
6/13/24,525,31.5,,,
6/14/24,527,31.5,,,
6/15/24,500,31,,,
6/16/24,508,29,,,
6/17/24,530,30,,,
6/18/24,534,30.5,,,
6/19/24,527,31.5,,,
6/20/24,524,30.5,,,
6/21/24,514,31.5,,,
6/22/24,526,30.5,,,
6/23/24,505,29,,,
6/24/24,503,29.5,,,
6/25/24,509,30,,,
6/26/24,504,30,,,
6/27/24,530,31,,,
6/28/24,502,32,,,
6/29/24,518,31.5,,,
6/30/24,520,30,,,
7/1/24,521,30,,,
7/2/24,513,30.5,,,
7/3/24,545,30.5,,,
7/4/24,515,30.5,,,
7/5/24,519,28.5,,,
7/6/24,538,29.5,,,
7/7/24,516,31,,,
7/8/24,537,31,,,
7/9/24,555,30.5,,,
7/10/24,560,29.5,,,
7/11/24,537,30.5,,,
7/12/24,562,30,,,
